4 ingredients
Candy, Chocolate, Sprinkles, Sugar

Part 1
Score: 18  Recipe: [('Candy', 3), ('Chocolate', 5), ('Sprinkles', 1), ('Sugar', 3)]
Score: 36  Recipe: [('Candy', 4), ('Chocolate', 5), ('Sprinkles', 1), ('Sugar', 3)]
Score: 72  Recipe: [('Candy', 4), ('Chocolate', 6), ('Sprinkles', 1), ('Sugar', 3)]
Score: 60  Recipe: [('Candy', 4), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 3)]
Score: 60  Recipe: [('Candy', 4), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 4)]
Score: 48  Recipe: [('Candy', 4), ('Chocolate', 7), ('Sprinkles', 2), ('Sugar', 4)]
Score: 30  Recipe: [('Candy', 5), ('Chocolate', 5), ('Sprinkles', 1), ('Sugar', 3)]
Score: 72  Recipe: [('Candy', 5), ('Chocolate', 6), ('Sprinkles', 1), ('Sugar', 3)]
Score: 90  Recipe: [('Candy', 5), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 3)]
Score: 144  Recipe: [('Candy', 5), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 4)]
Score: 72  Recipe: [('Candy', 5), ('Chocolate', 7), ('Sprinkles', 2), ('Sugar', 4)]
Score: 84  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 3)]
Score: 192  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 4)]
Score: 84  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 5)]
Score: 96  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 2), ('Sugar', 4)]
Score: 96  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 2), ('Sugar', 5)]
Score: 36  Recipe: [('Candy', 5), ('Chocolate', 8), ('Sprinkles', 3), ('Sugar', 5)]
Score: 54  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 3)]
Score: 144  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 4)]
Score: 126  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 5)]
Score: 72  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 2), ('Sugar', 4)]
Score: 144  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 2), ('Sugar', 5)]
Score: 54  Recipe: [('Candy', 5), ('Chocolate', 9), ('Sprinkles', 3), ('Sugar', 5)]
Score: 180  Recipe: [('Candy', 6), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 4)]
Score: 288  Recipe: [('Candy', 6), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 4)]
Score: 144  Recipe: [('Candy', 6), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 5)]
Score: 144  Recipe: [('Candy', 6), ('Chocolate', 8), ('Sprinkles', 2), ('Sugar', 5)]
Score: 324  Recipe: [('Candy', 6), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 4)]
Score: 324  Recipe: [('Candy', 6), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 5)]
Score: 324  Recipe: [('Candy', 6), ('Chocolate', 9), ('Sprinkles', 2), ('Sugar', 5)]
Score: 288  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 4)]
Score: 360  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 5)]
Score: 216  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 6)]
Score: 360  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 5)]
Score: 288  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 6)]
Score: 216  Recipe: [('Candy', 6), ('Chocolate', 10), ('Sprinkles', 3), ('Sugar', 6)]
Score: 180  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 4)]
Score: 252  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 5)]
Score: 216  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 6)]
Score: 72  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 7)]
Score: 252  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 5)]
Score: 288  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 6)]
Score: 108  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 7)]
Score: 216  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 6)]
Score: 108  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 7)]
Score: 72  Recipe: [('Candy', 6), ('Chocolate', 11), ('Sprinkles', 4), ('Sugar', 7)]
Score: 168  Recipe: [('Candy', 7), ('Chocolate', 7), ('Sprinkles', 1), ('Sugar', 4)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 4)]
Score: 180  Recipe: [('Candy', 7), ('Chocolate', 8), ('Sprinkles', 1), ('Sugar', 5)]
Score: 144  Recipe: [('Candy', 7), ('Chocolate', 8), ('Sprinkles', 2), ('Sugar', 5)]
Score: 360  Recipe: [('Candy', 7), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 4)]
Score: 450  Recipe: [('Candy', 7), ('Chocolate', 9), ('Sprinkles', 1), ('Sugar', 5)]
Score: 360  Recipe: [('Candy', 7), ('Chocolate', 9), ('Sprinkles', 2), ('Sugar', 5)]
Score: 384  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 4)]
Score: 600  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 5)]
Score: 384  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 1), ('Sugar', 6)]
Score: 480  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 5)]
Score: 480  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 2), ('Sugar', 6)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 10), ('Sprinkles', 3), ('Sugar', 6)]
Score: 360  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 4)]
Score: 630  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 5)]
Score: 576  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 6)]
Score: 198  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 1), ('Sugar', 7)]
Score: 504  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 5)]
Score: 720  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 6)]
Score: 288  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 2), ('Sugar', 7)]
Score: 432  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 6)]
Score: 270  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 3), ('Sugar', 7)]
Score: 144  Recipe: [('Candy', 7), ('Chocolate', 11), ('Sprinkles', 4), ('Sugar', 7)]
